
"""http://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dneargalcat&Action=More+Options"""
Results from heasarc_neargalcat: Updated Nearby Galaxy Catalog
Coordinate system:  Equatorial
|name             |distance|abs_bmag|
|ESO006-001       |    6.70|   -14.8|
|IC3104           |    2.27|   -14.8|
|HIPASS J1247-77  |    3.16|   -12.7|
|NGC2915          |    3.78|   -16.1|
|[KK2000] 03      |    4.10|   -12.3|
|SMC              |    0.06|   -16.5|
|LMC              |    0.05|   -17.9|
|IC5052           |    6.03|   -18.1|
|ESO059-001       |    4.57|   -15.0|
|IC4710           |    7.94|   -17.4|
|NGC1313          |    4.07|   -19.0|
|KK27             |    3.98|   -11.8|
|IC4870           |    7.30|   -15.3|
|CIRCINUS         |    4.20|   -20.7|
|NGC6684          |    8.70|   -18.7|
|ESO104-022       |    6.70|   -13.9|
|IC4662           |    2.44|   -15.5|
|Tucana           |    0.88|    -9.2|
|ESO104-044       |    8.30|   -14.8|
|[KK2000] 70      |    8.30|   -12.1|
|NGC6744          |    8.30|   -21.0|
|[KK2000] 72      |    8.30|   -11.9|
|[KK2000] 71      |    8.30|   -14.7|
|HIPASS J1441-62  |    6.02|   -14.1|
|IC4951           |    9.80|   -16.4|
|ESO115-021       |    4.99|   -15.5|
|ESO137-018       |    6.40|   -18.1|
|FG202            |    4.90|   -14.0|
|LV J0616-5745    |    6.00|   -12.1|
|ESO121-020       |    6.05|   -13.8|
|NGC1533          |   19.40|   -19.9|
|IC2038           |   19.20|   -16.5|
|ESO154-023       |    5.55|   -16.3|
|NGC7090          |    6.70|   -18.6|
|NGC1705          |    5.11|   -15.9|
|ESO174-001       |    3.60|   -15.7|
|ESO149-003       |    5.90|   -13.9|
|NGC1311          |    5.20|   -15.3|
|IC5152           |    1.97|   -15.6|
|HIPASS J1526-51  |    5.68|    -9.3|
|Carina           |    0.10|    -9.0|
|IC1959           |    6.05|   -16.0|
|ESO219-010       |    4.29|   -12.7|
|NGC4945          |    3.80|   -20.5|
|ESO222-010       |    5.80|   -13.6|
|ESO199-007       |    6.56|   -12.7|
|ESO238-005       |    7.80|   -14.8|
|ESO223-009       |    6.49|   -16.4|
|ESO215-009       |    5.25|   -13.5|
|NGC5206          |    3.47|   -16.6|
|RKK1610          |   14.90|   -16.1|
|ESO273-014       |    9.90|   -18.6|
|CenN             |    3.66|   -10.9|
|HIPASS J1351-47  |    5.73|   -11.9|
|KK221            |    3.98|   -11.3|
|ESO269-058       |    3.80|   -15.1|
|ESO274-001       |    3.09|   -17.6|
|ESO269-037       |    3.48|   -12.0|
|PGC051659        |    3.58|   -13.1|
|IC5201           |    8.80|   -18.8|
